Title,Price,screen,screen_size,resolution_width,resolution_height,resolution_pixels,refresh_rate,ram,ram_gb,storage,storage_gb,processor,cpu_clean,cpu_brand,cpu_family,cpu_generation,graphics,gpu_clean,gpu_brand,gpu_model,nvidia_gpu,is_gaming,has_dedicated_gpu,has_nvidia_gpu,has_amd_gpu,has_intel_gpu,os
"Laptop gamingowy ASUS TUF Gaming F16 FX608JHR-RV094W 16"" 165Hz i5-14450HX 16GB RAM 512GB Dysk SSD RTX5050 DLSS4 Win11 Szary",4099.0,"16 "",  1920 x 1200 pikseli 165 Hz",16.0,1920,1200,2304000,165,16 GB  DDR5 5600 Mhz RAM,16,512 GB SSD,512,Intel® Core™ i5 14gen 14450HX,Intel Core i5 14gen 14450HX,Intel,Core i5,14,NVIDIA® GeForce RTX™ 5050 + Intel UHD Graphics,NVIDIA GeForce RTX 5050 + Intel UHD Graphics,NVIDIA,GeForce RTX 5050,GeForce RTX 5050,True,True,True,False,True,Windows 11 Home Edition
"Laptop chromebook Lenovo IP Slim 3 Chrome 14M868 14"" Kompanio 520 8GB RAM 128GB Dysk SSD ChromeOS Szary",1299.0,"14 "",  1920 x 1080 pikseli 60 Hz",14.0,1920,1080,2073600,60,8 GB   LPDDR4X 3600 RAM,8,128 GB SSD,128,MediaTek™ Kompanio 520,MediaTek Kompanio 520,MediaTek,Kompanio 520,,ARM® Mali G-52,ARM Mali G-52,ARM,Mali G-52,,False,False,False,False,False,Chrome OS
"Laptop gamingowy MSI Katana 17 B13VEK-1449XPL 17,3"" 144Hz i5-13420H 16GB RAM 512GB Dysk SSD RTX4050 Czarny",3599.0,"17,3 "",  1920 x 1080 pikseli 144 Hz",17.3,1920,1080,2073600,144,16 GB  DDR5 5200 Mhz RAM,16,512 GB SSD,512,Intel® Core™ i5 13gen 13420H,Intel Core i5 13gen 13420H,Intel,Core i5,13,NVIDIA® GeForce RTX™ 4050 + Intel UHD Graphics,NVIDIA GeForce RTX 4050 + Intel UHD Graphics,NVIDIA,GeForce RTX 4050,GeForce RTX 4050,True,True,True,False,True,bez systemu
"Laptop gamingowy Lenovo LOQ 15AHP10 15,6"" 144Hz R7 250 16GB RAM 512GB Dysk SSD RTX5050 DLSS4 Win11 Szary Funkcje AI",4099.0,"15,6 "",  1920 x 1080 pikseli 144 Hz",15.6,1920,1080,2073600,144,16 GB  DDR5 5600 Mhz RAM,16,512 GB SSD,512,AMD Ryzen™ 7 250,AMD Ryzen 7 250,AMD,Ryzen 7,,NVIDIA® GeForce RTX™ 5050 + AMD Radeon™ 780M,NVIDIA GeForce RTX 5050 + AMD Radeon 780M,NVIDIA,GeForce RTX 5050,GeForce RTX 5050,True,True,True,True,False,Windows 11 Home Edition
"Laptop gamingowy Lenovo LOQ 15IRX10 15,6"" 144Hz i7-13650HX 16GB RAM 512GB Dysk SSD RTX5060 DLSS4 Win11 Szary Funkcje AI",4599.0,"15,6 "",  1920 x 1080 pikseli 144 Hz",15.6,1920,1080,2073600,144,16 GB  DDR5 4800 Mhz RAM,16,512 GB SSD,512,Intel® Core™ i7 13gen 13650HX,Intel Core i7 13gen 13650HX,Intel,Core i7,13,NVIDIA® GeForce RTX™ 5060 + Intel UHD Graphics,NVIDIA GeForce RTX 5060 + Intel UHD Graphics,NVIDIA,GeForce RTX 5060,GeForce RTX 5060,True,True,True,False,True,Windows 11 Home Edition
"Apple MacBook Air 2025 15,3"" M4 16GB RAM 256GB Dysk macOS Północ Funkcje AI",5499.0,"15,3"",  2880 x 1864 pikseli",15.3,2880,1864,5368320,,16 GB  zunifikowana RAM,16,256 GB SSD,256,Apple M4,Apple M4,Apple,M4,,Apple  M4 (10-rdzeni),Apple M4 (10-rdzeni),Apple,M4,,False,False,False,False,False,macOS Sequoia lub nowszy
"Laptop gamingowy Lenovo Legion Pro 5 16IAX10 OLED 16"" 165Hz Ultra 7 255HX 32GB RAM 1TB Dysk SSD RTX5060 DLSS4 Czarny Funkcje AI",6899.0,"16 "",  2560 x 1600 pikseli 165 Hz",16.0,2560,1600,4096000,165,32 GB  DDR5 5600 Mhz RAM,32,1 TB SSD,1024,Intel® Core™ Ultra 7 15gen 255HX,Intel Core Ultra 7 15gen 255HX,Intel,Core Ultra 7,15,NVIDIA® GeForce RTX™ 5060 + Intel Graphics,NVIDIA GeForce RTX 5060 + Intel Graphics,NVIDIA,GeForce RTX 5060,GeForce RTX 5060,True,True,True,False,True,bez systemu
"Apple MacBook Neo 2026 13"" A18 Pro 8GB RAM 256GB Dysk SSD macOS Subtelny róż Funkcje AI",3199.0,"13 "",  2408 x 1506 pikseli 60 Hz",13.0,2408,1506,3626448,60,8 GB  zunifikowana RAM,8,256 GB SSD,256,Apple A18 Pro,Apple A18 Pro,Apple,A18 Pro,,Apple  A18 Pro (5-rdzeni),Apple A18 Pro (5-rdzeni),Apple,A18 Pro,,False,False,False,False,False,macOS
"Laptop gamingowy MSI Cyborg 15 B13WEKG-628PL 15,6""144Hz i5-13420H 16GB RAM 512GB Dysk SSD RTX5050 DLSS4 Win11 Czarny",3799.0,"15,6 "",  1920 x 1080 pikseli 144 Hz",15.6,1920,1080,2073600,144,16 GB  DDR5 5200 Mhz RAM,16,512 GB SSD,512,Intel® Core™ i5 13gen 13420H,Intel Core i5 13gen 13420H,Intel,Core i5,13,NVIDIA® GeForce RTX™ 5050 + Intel UHD Graphics,NVIDIA GeForce RTX 5050 + Intel UHD Graphics,NVIDIA,GeForce RTX 5050,GeForce RTX 5050,True,True,True,False,True,Windows 11 Home Edition
"Laptop gamingowy Lenovo Legion 5 15AHP11 OLED 15,3"" 165Hz R7 250 16GB RAM 512GB Dysk SSD RTX5060 DLSS4 Win11 Czarny Funkcje AI",5649.0,"15,3"",  2560 x 1600 pikseli 165 Hz",15.3,2560,1600,4096000,165,16 GB  DDR5 5600 Mhz RAM,16,512 GB SSD,512,AMD Ryzen™ 7 250,AMD Ryzen 7 250,AMD,Ryzen 7,,NVIDIA® GeForce RTX™ 5060 + AMD Radeon™ 780M,NVIDIA GeForce RTX 5060 + AMD Radeon 780M,NVIDIA,GeForce RTX 5060,GeForce RTX 5060,True,True,True,True,False,Windows 11 Home Edition
"Laptop Dell 15 DC15255 15,6"" 120Hz R5 7530U 16GB RAM 512GB Dysk SSD Win11 Czarny",2299.0,"15,6 "",  1920 x 1080 pikseli 120 Hz",15.6,1920,1080,2073600,120,16 GB  DDR4 3200 MHz RAM,16,512 GB SSD,512,AMD Ryzen™ 5 7530U,AMD Ryzen 5 7530U,AMD,Ryzen 5,,AMD  Radeon™ Graphics,AMD Radeon Graphics,AMD,Radeon,,False,False,False,True,False,Windows 11 Home Edition
"Laptop Lenovo IdeaPad Slim 5 16IMH10 16"" Core Ultra 5 135H 16GB RAM 512GB Dysk SSD Win11 Szary Funkcje AI",2879.0,"16 "",  1920 x 1200 pikseli 60 Hz",16.0,1920,1200,2304000,60,16 GB  DDR5 5600 Mhz RAM,16,512 GB SSD,512,Intel® Core™ Ultra 5 14gen 135H,Intel Core Ultra 5 14gen 135H,Intel,Core Ultra 5,14,Intel®  Arc Graphics,Intel Arc Graphics,Intel,Arc,,False,False,False,False,True,Windows 11 Home Edition
"Laptop HP 17-cp3216nw 17,3"" R7 7730U 16GB RAM 512GB Dysk SSD Win11 Srebrny",2666.0,"17,3 "",  1920 x 1080 pikseli",17.3,1920,1080,2073600,,16 GB  DDR4 3200 MHz RAM,16,512 GB SSD,512,AMD Ryzen™ 7 7730U,AMD Ryzen 7 7730U,AMD,Ryzen 7,,AMD  Radeon™ Graphics,AMD Radeon Graphics,AMD,Radeon,,False,False,False,True,False,Windows 11 Home Edition
"Laptop Lenovo Yoga 7 14ILL10 OLED 14"" Ultra 5 226V 16GB RAM 512GB Dysk SSD Win11 Funkcje AI",4099.0,"14 "", ekran dotykowy 1920 x 1200 pikseli 60 Hz",14.0,1920,1200,2304000,60,16 GB  LPDDR5x 7467 Mhz RAM,16,512 GB SSD,512,Intel® Core™ Ultra 5 14gen 226V,Intel Core Ultra 5 14gen 226V,Intel,Core Ultra 5,14,Intel®  Arc Graphics,Intel Arc Graphics,Intel,Arc,,False,False,False,False,True,Windows 11 Home Edition
"Laptop gamingowy ASUS ROG Strix G16 G614PR-R9161W 16"" 165Hz R9 8940HX 16GB RAM 1TB Dysk SSD RTX5070Ti DLSS4 Win11 Szary Funkcje AI",8999.0,"16 "",  1920 x 1200 pikseli 165 Hz",16.0,1920,1200,2304000,165,16 GB  DDR5 5200 Mhz RAM,16,1 TB SSD,1024,AMD Ryzen™ 9 8940HX,AMD Ryzen 9 8940HX,AMD,Ryzen 9,,NVIDIA® GeForce RTX™ 5070 Ti + AMD Radeon™ 610M,NVIDIA GeForce RTX 5070 Ti + AMD Radeon 610M,NVIDIA,GeForce RTX 5070 Ti,GeForce RTX 5070 Ti,True,True,True,True,False,Windows 11 Home Edition
"Laptop ASUS Vivobook 16 M1605NAQ-MB114W 16"" Ryzen 5 150 16GB RAM 512GB Dysk SSD Win11 Srebrny Funkcje AI",2599.0,"16 "",  1920 x 1200 pikseli 60 Hz",16.0,1920,1200,2304000,60,16 GB  DDR5 RAM,16,512 GB SSD,512,AMD Ryzen™ 5 150,AMD Ryzen 5 150,AMD,Ryzen 5,,AMD  Radeon™ 660M,AMD Radeon 660M,AMD,Radeon 660M,,False,False,False,True,False,Windows 11 Home Edition
"Laptop gamingowy Lenovo LOQ 15IAX9 15,6"" 144Hz i5-12450HX 16GB RAM 512GB Dysk SSD RTX3050 Win11 Szary",3299.0,"15,6 "",  1920 x 1080 pikseli 144 Hz",15.6,1920,1080,2073600,144,16 GB  DDR5 4800 Mhz RAM,16,512 GB SSD,512,Intel® Core™ i5 12gen 12450HX,Intel Core i5 12gen 12450HX,Intel,Core i5,12,NVIDIA® GeForce RTX™ 3050 + Intel UHD Graphics,NVIDIA GeForce RTX 3050 + Intel UHD Graphics,NVIDIA,GeForce RTX 3050,GeForce RTX 3050,True,True,True,False,True,Windows 11 Home Edition
"Laptop gamingowy Lenovo LOQ 15ARP9 15,6"" 144Hz R5 7235HS 16GB RAM 512GB Dysk SSD RTX4050 DLSS3 Win11 Szary Funkcje AI + Mysz",3799.0,"15,6 "",  1920 x 1080 pikseli 144 Hz",15.6,1920,1080,2073600,144,16 GB  DDR5 4800 Mhz RAM,16,512 GB SSD,512,AMD Ryzen™ 5 7235HS,AMD Ryzen 5 7235HS,AMD,Ryzen 5,,NVIDIA® GeForce RTX™ 4050,NVIDIA GeForce RTX 4050,NVIDIA,GeForce RTX 4050,GeForce RTX 4050,True,True,True,False,False,Windows 11 Home Edition
"Laptop gamingowy MSI Katana 15 HX B14WFK-822PL 15,6"" 144Hz i7-14650HX 16GB RAM 1TB Dysk SSD RTX5060 DLSS4 Win11 Czarny",4749.0,"15,6 "",  1920 x 1080 pikseli 144 Hz",15.6,1920,1080,2073600,144,16 GB  DDR5 5600 Mhz RAM,16,1 TB SSD,1024,Intel® Core™ i7 14gen 14650HX,Intel Core i7 14gen 14650HX,Intel,Core i7,14,NVIDIA® GeForce RTX™ 5060 + Intel UHD Graphics,NVIDIA GeForce RTX 5060 + Intel UHD Graphics,NVIDIA,GeForce RTX 5060,GeForce RTX 5060,True,True,True,False,True,Windows 11 Home Edition
"Laptop HP OmniBook 5 16-ag1223nw 16"" Ryzen AI 5 340 16GB RAM 512GB Dysk SSD Win11 Srebrny Funkcje AI",2666.0,"16 "",  1920 x 1200 pikseli",16.0,1920,1200,2304000,,16 GB  LPDDR5x 7500 Mhz RAM,16,512 GB SSD,512,AMD Ryzen™ AI 5 340,AMD Ryzen AI 5 340,AMD,Ryzen AI 5,,AMD  Radeon™ 840M,AMD Radeon 840M,AMD,Radeon 840M,,False,False,False,True,False,Windows 11 Home Edition
"Laptop Acer Nitro V 16 ANV16-41 16"" 165Hz R5 8645HS 16GB RAM 512GB Dysk SSD RTX4050 DLSS3 Win11 Czarny Funkcje AI",3999.0,"16 "",  1920 x 1200 pikseli 165 Hz",16.0,1920,1200,2304000,165,16 GB  DDR5 5600 Mhz RAM,16,512 GB SSD,512,AMD Ryzen™ 5 8645HS,AMD Ryzen 5 8645HS,AMD,Ryzen 5,,NVIDIA® GeForce RTX™ 4050 + AMD Radeon™ 760M,NVIDIA GeForce RTX 4050 + AMD Radeon 760M,NVIDIA,GeForce RTX 4050,GeForce RTX 4050,False,True,True,True,False,Windows 11 Home Edition
"Laptop HP OmniBook 5 16-af1068nw 16"" Ultra 5 225U 16GB RAM 512GB Dysk SSD Win11 Srebrny Funkcje AI",3799.0,"16 "",  1920 x 1200 pikseli",16.0,1920,1200,2304000,,16 GB  LPDDR5 7467 Mhz RAM,16,512 GB SSD,512,Intel® Core™ Ultra 5 15gen 225U,Intel Core Ultra 5 15gen 225U,Intel,Core Ultra 5,15,Intel®  Graphics,Intel Graphics,Intel,,,False,False,False,False,True,Windows 11 Home Edition
"Apple MacBook Air 2026 13,6"" M5 10/8 16GB RAM 512GB Dysk macOS Północ Funkcje AI",5999.0,"13,6 "",  2560 x 1664 pikseli",13.6,2560,1664,4259840,,16 GB  zunifikowana RAM,16,512 GB SSD,512,Apple M5,Apple M5,Apple,M5,,Apple  M5 (8-rdzeni),Apple M5 (8-rdzeni),Apple,M5,,False,False,False,False,False,macOS
"Laptop 2w1 HP OmniBook 5 Flip 14-fp0220nw 14"" Core 5 120U 16GB RAM 512GB Dysk SSD Win11 Srebrny",2999.0,"14 "", ekran dotykowy 1920 x 1200 pikseli",14.0,1920,1200,2304000,,16 GB  LPDDR5 5200 Mhz RAM,16,512 GB SSD,512,Intel® Core™ 5 14gen 120U,Intel Core 5 14gen 120U,Intel,Core 5,14,Intel®  Graphics,Intel Graphics,Intel,,,False,False,False,False,True,Windows 11 Home Edition
"Laptop 2w1 HP OmniBook X Flip 14-fk0020nw OLED 14"" Ryzen AI 5 340 16GB RAM 512GB Dysk SSD Win11 Srebrny Funkcje AI",3699.0,"14 "", ekran dotykowy 1920 x 1200 pikseli",14.0,1920,1200,2304000,,16 GB  LPDDR5x 7500 Mhz RAM,16,512 GB SSD,512,AMD Ryzen™ AI 5 340,AMD Ryzen AI 5 340,AMD,Ryzen AI 5,,AMD  Radeon™ 840M,AMD Radeon 840M,AMD,Radeon 840M,,False,False,False,True,False,Windows 11 Home Edition
"Laptop gamingowy Lenovo LOQ 15IRX10 15,6"" 144Hz i5-13450HX 16GB RAM 512GB Dysk SSD RTX5060 Win11 Szary Funkcje AI",4299.0,"15,6 "",  1920 x 1080 pikseli 144 Hz",15.6,1920,1080,2073600,144,16 GB  DDR5 4800 Mhz RAM,16,512 GB SSD,512,Intel® Core™ i5 13gen 13450HX,Intel Core i5 13gen 13450HX,Intel,Core i5,13,NVIDIA® GeForce RTX™ 5060 + Intel UHD Graphics,NVIDIA GeForce RTX 5060 + Intel UHD Graphics,NVIDIA,GeForce RTX 5060,GeForce RTX 5060,True,True,True,False,True,Windows 11 Home Edition
"Laptop gamingowy ASUS TUF Gaming A16 FA608UHI-R7165 16"" 144Hz Ryzen 7 260 16GB RAM 512GB Dysk SSD RTX5050 DLSS4 Szary Funkcje AI",3699.0,"16 "",  1920 x 1200 pikseli 144 Hz",16.0,1920,1200,2304000,144,16 GB  DDR5 5600 Mhz RAM,16,512 GB SSD,512,AMD Ryzen™ 7 260,AMD Ryzen 7 260,AMD,Ryzen 7,,NVIDIA® GeForce RTX™ 5050 + 	AMD Radeon™ 780M,NVIDIA GeForce RTX 5050 + AMD Radeon 780M,NVIDIA,GeForce RTX 5050,GeForce RTX 5050,True,True,True,True,False,bez systemu
Laptop gamingowy ASUS TUF Gaming A18 FA808UM-S9016W 18'' 240Hz Ryzen 7 260 16GB RAM 512GB Dysk SSD RTX5060 DLSS4 Win11 Szary Funkcje AI,5999.0,"18 "",  2560 x 1600 pikseli 240 Hz",18.0,2560,1600,4096000,240,16 GB  DDR5 5600 Mhz RAM,16,512 GB SSD,512,AMD Ryzen™ 7 260,AMD Ryzen 7 260,AMD,Ryzen 7,,NVIDIA® GeForce RTX 5060,NVIDIA GeForce RTX 5060,NVIDIA,GeForce RTX 5060,GeForce RTX 5060,True,True,True,False,False,Windows 11 Home Edition
"Laptop HP OmniBook 5 16-ag1030nw 16"" Ryzen AI 7 350 24GB RAM 512GB Dysk SSD Win11 Srebrny Funkcje AI",2799.0,"16 "",  1920 x 1200 pikseli",16.0,1920,1200,2304000,,24 GB  LPDDR5x 7500 Mhz RAM,24,512 GB SSD,512,AMD Ryzen™ AI 7 350,AMD Ryzen AI 7 350,AMD,Ryzen AI 7,,AMD  Radeon™ 860M,AMD Radeon 860M,AMD,Radeon 860M,,False,False,False,True,False,Windows 11 Home Edition
"Laptop gamingowy HP Victus 15-fb3081nw 15,6"" 144Hz R5 240 24GB RAM 512GB Dysk SSD RTX5050 DLSS4 Win11 Czarno-srebrny Funkcje AI",4199.0,"15,6 "",  1920 x 1080 pikseli 144 Hz",15.6,1920,1080,2073600,144,24 GB  DDR5 5600 Mhz RAM,24,512 GB SSD,512,AMD Ryzen™ 5 240,AMD Ryzen 5 240,AMD,Ryzen 5,,NVIDIA® GeForce RTX™ 5050 + AMD Radeon™ 760M,NVIDIA GeForce RTX 5050 + AMD Radeon 760M,NVIDIA,GeForce RTX 5050,GeForce RTX 5050,True,True,True,True,False,Windows 11 Home Edition
"Apple MacBook Pro 2023 14,2"" M3 8GB RAM 512GB Dysk macOS Srebrny US",6299.0,"14,2 "",  3024 x 1964 pikseli 120 Hz",14.2,3024,1964,5939136,120,8 GB  zunifikowana RAM,8,512 GB SSD,512,Apple M3,Apple M3,Apple,M3,,Apple  M3 (10-rdzeni),Apple M3 (10-rdzeni),Apple,M3,,False,False,False,False,False,macOS Sonoma lub nowszy
"Apple MacBook Neo 2026 Touch ID 13"" A18 Pro 8GB RAM 512GB Dysk SSD macOS Subtelny róż Funkcje AI",3749.0,"13 "",  2408 x 1506 pikseli 60 Hz",13.0,2408,1506,3626448,60,8 GB  zunifikowana RAM,8,512 GB SSD,512,Apple A18 Pro,Apple A18 Pro,Apple,A18 Pro,,Apple  A18 Pro (5-rdzeni),Apple A18 Pro (5-rdzeni),Apple,A18 Pro,,False,False,False,False,False,macOS
"Laptop ASUS Zenbook A16 UX3607OA-SQ013W OLED 16"" 120Hz Snapdragon X2 Elite X2E94100 48GB RAM 1TB Dysk SSD Win11 Beżowy AI",8544.99,"16 "",  2880 x 1800 pikseli 120 Hz",16.0,2880,1800,5184000,120,48 GB  LPDDR5X RAM,48,1 TB SSD,1024,Qualcomm® Snapdragon® X2 Elite Extreme X2E94100,Qualcomm Snapdragon X2 Elite Extreme X2E94100,Qualcomm,Snapdragon X2 Elite Extreme,,Qualcomm®  Adreno™ Graphics,Qualcomm Adreno Graphics,Qualcomm,Adreno,,False,False,False,False,False,Windows 11 Home Edition
"Laptop 2w1 Lenovo Yoga 7 2-in-1 14AKP10 OLED 14"" Ryzen AI 5 340 16GB RAM 1TB Dysk SSD Win11 Zielony Funkcje AI",4399.0,"14 "", ekran dotykowy 1920 x 1200 pikseli 60 Hz",14.0,1920,1200,2304000,60,16 GB  LPDDR5 6400 Mhz RAM,16,1 TB SSD,1024,AMD Ryzen™ AI 5 340,AMD Ryzen AI 5 340,AMD,Ryzen AI 5,,AMD  Radeon™ 840M Graphics,AMD Radeon 840M Graphics,AMD,Radeon 840M,,False,False,False,True,False,Windows 11 Home Edition
"Laptop ultrabook ASUS Zenbook 14 UM3406GA-QD013W OLED 14"" Ryzen AI 5 430 16GB RAM 512GB Dysk SSD Win11 Czarny Funkcje AI",3649.0,"14 "",  1920 x 1200 pikseli 60 Hz",14.0,1920,1200,2304000,60,16 GB  LPDDR5X RAM,16,512 GB SSD,512,AMD Ryzen™ AI 5 430,AMD Ryzen AI 5 430,AMD,Ryzen AI 5,,AMD  Radeon™ 840M Graphics,AMD Radeon 840M Graphics,AMD,Radeon 840M,,False,False,False,True,False,Windows 11 Home Edition
"Laptop HP 17-cn4009nw 17,3"" Core 5 120U 16GB RAM 512GB Dysk SSD Win11 Srebrny",2899.0,"17,3 "",  1920 x 1080 pikseli",17.3,1920,1080,2073600,,16 GB  DDR4 3200 MHz RAM,16,512 GB SSD,512,Intel® Core™ 5 14gen 120U,Intel Core 5 14gen 120U,Intel,Core 5,14,Intel®  Graphics,Intel Graphics,Intel,,,False,False,False,False,True,Windows 11 Home Edition
"Laptop gamingowy Gigabyte Gaming A16 3VHK3EE893SD 16"" 165Hz R7 260 16GB RAM 512GB Dysk SSD RTX5060 DLSS4 Czarny Funkcje AI",4339.99,"16 "",  1920 x 1200 pikseli 165 Hz",16.0,1920,1200,2304000,165,16 GB  DDR5 5600 Mhz RAM,16,512 GB SSD,512,AMD Ryzen™ 7 260,AMD Ryzen 7 260,AMD,Ryzen 7,,NVIDIA® GeForce RTX 5060 + AMD Radeon™ 780M,NVIDIA GeForce RTX 5060 + AMD Radeon 780M,NVIDIA,GeForce RTX 5060,GeForce RTX 5060,True,True,True,True,False,bez systemu
"Laptop gamingowy Lenovo Legion Pro 5 16IAX10 OLED 16"" 165Hz Ultra 7 255HX 32GB RAM 1TB Dysk SSD RTX5070 DLSS4 Czarny Funkcje AI",8069.99,"16 "",  2560 x 1600 pikseli 165 Hz",16.0,2560,1600,4096000,165,32 GB  DDR5 5600 Mhz RAM,32,1 TB SSD,1024,Intel® Core™ Ultra 7 15gen 255HX,Intel Core Ultra 7 15gen 255HX,Intel,Core Ultra 7,15,NVIDIA® GeForce RTX™ 5070 + Intel Graphics,NVIDIA GeForce RTX 5070 + Intel Graphics,NVIDIA,GeForce RTX 5070,GeForce RTX 5070,True,True,True,False,True,bez systemu
